,Age,Education Level,Race,Gender,householdSize,maritalStatus,Region,kidsInHH,employmentStatus,Hispanic,White,Black,nativeAmerican,asainIndian,Chinese,Filipino,Japanese,Korean,Vietnamese,otherAsainEthnicity,Hawaiian,Guamanian,Samoan,otherPacificIslander,someOtherRace,politicalParty,Religion,Married,LGBTQ+,romanticPartner,partnersGender,sameGenderAsPartner,partnerHispanic,partnersRace,partnerChristian,partnersReligion,partnersAge,partnersEducationLevel,partnersPoliticalParty,livingWithPartner,ageMetPartner,ageRelationshipStarted,ageLivingTogether,ageMarried,relationshipLength,whoEarnsMore,sameHighSchool,sameCollege,sameHometown,parentsApprove,metAtWork,metAtSchool,metAtChurch,metViaInternetService,metOnVacation,metAtBar,metAtClubActivity,metAtParty,metOther,usedInternetSevice,familyIntroduced,friendsIntroduced,coworkersIntroduced,classmateIntroduced,neighborsIntroduced,selfIntroduced,otherIntroduced,qualityOfRelationship,metOnline,metAsCoworkers,metThroughFriends,metThroughFamily,metThroughSigOther,metThroughNeighbor,metCollege,metMilitary,metChurch,metVoluntaryOrg,metAsCustomer,metInternetDating,metNetworking,metGaming,metInternetChat,metInternetCommunity,metInternetOther,metInPublic,metBlindDate,metAtSinglesServiceNonInternet,metOnBusiness,metAsWorkNeighbors,typeOfInternetMeeting,sameSexCouple,ageDifference,metThroughFriends,metThroughFamily,metAsNeighbors,metThroughCoworkers,partnersRace,partnersRegion,stillMarriedToPartner,livingWithPartner,howDidMarriageEnd,stillInRelationship,livingTogether,howDidRelationshipEnd,relationshipStatus
365,59,high school graduate - high school diploma or the equivalent (ged),hispanic,male,2,married,west,0,working - self-employed,"yes, other spanish/hispanic/latino",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,none,"yes, i am married",,,female,,no (not latino or hispanic),white,no,none,61.0,hs graduate or ged,democrat,yes,16.0,16.0,18.0,18.0,,partner earned more,different high school,,no,approve,no,no,no,no,no,no,no,no,yes,"no, we did not meet through the internet",no,yes,no,no,no,no,no,excellent,met offline,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,different sex couple,2.0,meet through friends,not met through family,did not meet through or as neighbors,0.0,hispanic,west,yes,yes,,,,,Married
366,76,associate degree,"2+ races, non-hispanic",female,1,never married,northeast,0,not working - retired,"no, i am not",yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,republican,catholic,"no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",northeast,,,,,,,
367,29,bachelors degree,"white, non-hispanic",male,3,married,south,1,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,baptist-any denomination,"yes, i am married",,,female,,no (not latino or hispanic),white,yes,baptist - any denomination,30.0,bachelor's degree,independent,yes,18.0,18.0,18.0,18.0,,partner earned more,same high school,attended same college or university,yes,approve,no,yes,no,no,no,no,no,no,no,"no, we did not meet through the internet",no,yes,no,no,no,no,no,excellent,met offline,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,different sex couple,1.0,meet through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",south,yes,yes,,,,,Married
368,36,high school graduate - high school diploma or the equivalent (ged),"white, non-hispanic",male,5,married,northeast,2,working - self-employed,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","yes, i am married",,,female,,no (not latino or hispanic),white,yes,pentecostal,33.0,hs graduate or ged,republican,yes,17.0,21.0,23.0,23.0,,i earned more,different high school,,no,approve,no,no,yes,no,no,no,no,no,no,"no, we did not meet through the internet",no,yes,no,no,no,no,no,excellent,met offline,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,different sex couple,3.0,meet through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",northeast,yes,yes,,,,,Married
369,56,high school graduate - high school diploma or the equivalent (ged),hispanic,male,2,married,west,0,not working - retired,"yes, other spanish/hispanic/latino",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","yes, i am married",,,female,,no (not latino or hispanic),white,no,other christian,44.0,hs graduate or ged,no preference,yes,40.0,40.0,40.0,41.0,,i earned more,different high school,,no,,no,no,no,no,no,no,no,no,yes,"no, we did not meet through the internet",no,yes,no,no,no,no,no,good,met offline,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,different sex couple,12.0,meet through friends,not met through family,did not meet through or as neighbors,0.0,hispanic,west,no,,divorce,,,,Divorced
370,64,"some college, no degree","white, non-hispanic",male,1,never married,midwest,0,not working - retired,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,catholic,"no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",midwest,,,,,,,Never married
371,78,"some college, no degree","white, non-hispanic",female,1,widowed,northeast,0,not working - other,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",male,,no (not latino or hispanic),white,no,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",78.0,professional or doctorate degree,republican,no,77.0,77.0,,,"more than 1 year, less than 2 years",partner earned more,same high school,did not attend same college or university,yes,,no,no,no,no,no,no,no,no,yes,"no, we did not meet through the internet",no,no,no,no,no,yes,no,excellent,met offline,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,different sex couple,0.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",northeast,,,,yes,no,,
372,67,12th grade no diploma,"white, non-hispanic",male,1,widowed,northeast,0,not working - retired,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","no, i am not married",,i have a romantic partner who is not yet a sexual partner,female,,no (not latino or hispanic),white,no,catholic,64.0,hs graduate or ged,independent,no,66.0,66.0,,,7 months - 1 year,i earned more,different high school,,no,,no,no,no,yes,no,no,no,no,no,"yes, an internet dating or matchmaking site (like eharmony or match.com)",no,no,no,no,no,no,yes,excellent,met online,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Previously Strangers: Before online connection respondent and partner were strangers,different sex couple,3.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",northeast,,,,no,,we broke up,Widowed
373,80,10th grade,"white, non-hispanic",female,1,widowed,south,0,not working - retired,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,pentecostal,"no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",south,,,,,,,Widowed
374,64,"some college, no degree","white, non-hispanic",female,1,widowed,south,0,not working - retired,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,mormon,"no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",south,,,,,,,Widowed
375,34,bachelors degree,"white, non-hispanic",female,1,never married,midwest,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,"other non-christian, please specify:","no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",midwest,,,,,,,Never married
376,28,"some college, no degree","white, non-hispanic",female,4,married,midwest,0,not working - looking for work,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,baptist-any denomination,"yes, i am married",,,male,,no (not latino or hispanic),white,yes,other christian,38.0,bachelor's degree,republican,yes,26.0,26.0,26.0,26.0,"more than 2 years, less than 3 years",partner earned more,different high school,did not attend same college or university,no,neither approve nor disapprove,no,no,no,no,no,no,no,yes,no,"yes, a social networking site (like facebook or myspace)",no,no,yes,no,no,no,no,fair,met offline,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Previously Strangers: Before online connection respondent and partner were strangers,different sex couple,10.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",midwest,yes,yes,,,,,Married
377,60,bachelors degree,hispanic,female,4,living with partner,west,0,working - as a paid employee,"yes, other spanish/hispanic/latino",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,jewish,"yes, i am married",,,female,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,jewish,59.0,master's degree,democrat,yes,32.0,33.0,33.0,59.0,,we earned about the same amount,different high school,did not attend same college or university,no,approve,no,no,no,no,no,no,yes,no,no,"no, we did not meet through the internet",no,no,no,no,no,yes,no,excellent,met offline,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,same-sex couple,1.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,hispanic,west,yes,yes,,,,,Married
378,72,7th or 8th grade,"white, non-hispanic",female,2,married,west,0,not working - other,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,none,"yes, i am married",,,male,,no (not latino or hispanic),white,no,none,73.0,associate degree,republican,yes,20.0,21.0,21.0,21.0,,partner earned more,different high school,,no,,yes,no,no,no,no,no,no,no,no,"no, we did not meet through the internet",no,no,no,no,no,no,yes,excellent,met offline,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,,different sex couple,1.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",west,yes,yes,,,,,Married
379,81,high school graduate - high school diploma or the equivalent (ged),"white, non-hispanic",male,2,widowed,midwest,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",midwest,,,,,,,Widowed
380,46,bachelors degree,hispanic,male,1,never married,midwest,0,working - as a paid employee,"yes, mexican, mexican-american, chicano",no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,democrat,catholic,"no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hispanic,midwest,,,,,,,Never married
381,83,"some college, no degree","2+ races, non-hispanic",male,1,divorced,west,0,not working - retired,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,republican,other christian,"no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",west,,,,,,,
382,53,associate degree,"white, non-hispanic",male,1,never married,west,0,not working - disabled,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",west,,,,,,,Never married
383,28,associate degree,"white, non-hispanic",male,2,never married,west,0,not working - looking for work,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,none,"no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",female,,no (not latino or hispanic),white,yes,catholic,38.0,professional or doctorate degree,democrat,no,27.0,27.0,,,"more than 1 year, less than 2 years",partner earned more,different high school,attended same college or university,no,do not know,no,yes,no,no,no,no,no,no,no,"no, we did not meet through the internet",no,no,no,yes,no,no,no,excellent,met offline,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,different sex couple,10.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",west,,,,yes,yes,,Never married
384,43,bachelors degree,"white, non-hispanic",female,2,living with partner,west,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,other christian,"yes, i am married",,,female,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,jewish,40.0,professional or doctorate degree,independent,yes,32.0,32.0,34.0,43.0,,partner earned more,different high school,did not attend same college or university,no,approve,no,no,no,no,no,no,no,yes,no,"no, we did not meet through the internet",no,no,no,no,no,yes,no,excellent,met offline,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,same-sex couple,3.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",west,yes,yes,,,,,
385,48,high school graduate - high school diploma or the equivalent (ged),hispanic,male,2,never married,northeast,0,not working - disabled,"yes, caribbean",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,none,"no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",female,,no (not latino or hispanic),black or african american,no,baptist - any denomination,30.0,11th grade,democrat,yes,40.0,40.0,41.0,,,partner earned more,different high school,,no,approve,no,no,no,no,no,no,no,no,yes,"no, we did not meet through the internet",no,no,no,no,no,no,yes,fair,met offline,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,different sex couple,18.0,meet through friends,not met through family,did not meet through or as neighbors,0.0,hispanic,northeast,,,,yes,yes,,Never married
386,41,high school graduate - high school diploma or the equivalent (ged),"white, non-hispanic",male,4,married,midwest,1,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,catholic,"yes, i am married",,,female,,no (not latino or hispanic),white,no,catholic,44.0,hs graduate or ged,democrat,yes,23.0,23.0,25.0,25.0,,i earned more,different high school,,no,approve,no,no,no,no,no,no,no,no,yes,"no, we did not meet through the internet",no,no,no,no,no,yes,no,excellent,met offline,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,different sex couple,3.0,meet through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",midwest,yes,yes,,,,,Married
387,38,bachelors degree,"white, non-hispanic",female,3,married,west,1,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,mormon,"yes, i am married",,,male,,no (not latino or hispanic),white,no,mormon,39.0,associate degree,republican,yes,15.0,16.0,20.0,20.0,,partner earned more,same high school,did not attend same college or university,yes,approve,no,yes,no,no,no,no,no,no,no,"no, we did not meet through the internet",no,no,no,no,no,yes,no,excellent,met offline,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,different sex couple,1.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",west,yes,yes,,,,,Married
388,24,high school graduate - high school diploma or the equivalent (ged),"white, non-hispanic",male,4,never married,south,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,none,"no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",south,,,,,,,Never married
389,82,high school graduate - high school diploma or the equivalent (ged),"white, non-hispanic",female,2,married,northeast,0,not working - retired,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,baptist-any denomination,"yes, i am married",,,male,,no (not latino or hispanic),white,yes,baptist - any denomination,82.0,hs graduate or ged,republican,yes,17.0,17.0,18.0,18.0,,we earned about the same amount,different high school,,no,,no,no,no,no,no,no,no,no,yes,"no, we did not meet through the internet",no,no,no,no,no,no,yes,excellent,met offline,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,different sex couple,0.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",northeast,yes,yes,,,,,Married
390,39,high school graduate - high school diploma or the equivalent (ged),"white, non-hispanic",male,3,never married,northeast,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,catholic,"no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",northeast,,,,,,,Never married
391,30,masters degree,"white, non-hispanic",female,2,living with partner,south,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,pentecostal,"no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",male,,no (not latino or hispanic),white,yes,baptist - any denomination,36.0,hs graduate or ged,republican,yes,22.0,22.0,24.0,,,partner earned more,different high school,,no,approve,yes,no,no,no,no,no,no,no,no,"no, we did not meet through the internet",no,no,no,no,no,yes,no,excellent,met offline,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,different sex couple,6.0,not met through friends,not met through family,did not meet through or as neighbors,1.0,"white, non-hispanic",west,,,,yes,yes,,Married
392,62,"some college, no degree","white, non-hispanic",female,2,divorced,midwest,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",midwest,,,,,,,Divorced
393,85,masters degree,"white, non-hispanic",male,2,married,south,0,not working - retired,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","yes, i am married",,,female,,no (not latino or hispanic),white,no,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",61.0,hs graduate or ged,no preference,yes,57.0,57.0,59.0,59.0,,i earned more,different high school,,no,,no,no,no,no,no,yes,no,no,no,"no, we did not meet through the internet",no,no,no,no,no,yes,no,good,met offline,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,different sex couple,24.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",south,yes,yes,,,,,Married
394,41,bachelors degree,hispanic,male,4,married,northeast,2,working - as a paid employee,"yes, south american",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,none,"yes, i am married",,,female,,"yes, other latino/hispanic",white,no,catholic,42.0,master's degree,democrat,yes,22.0,22.0,22.0,25.0,,i earned more,different high school,did not attend same college or university,no,approve,no,no,no,no,no,no,no,no,yes,"no, we did not meet through the internet",no,yes,no,no,no,no,no,good,met offline,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,different sex couple,1.0,meet through friends,not met through family,did not meet through or as neighbors,1.0,hispanic,northeast,yes,yes,,,,,Married
395,48,professional or doctorate degree,"white, non-hispanic",male,2,married,south,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","yes, i am married",,,male,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,other christian,57.0,bachelor's degree,democrat,yes,28.0,28.0,32.0,45.0,,i earned more,different high school,did not attend same college or university,no,approve,no,no,no,no,yes,no,no,no,no,"no, we did not meet through the internet",no,no,no,no,no,yes,no,good,met offline,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,same-sex couple,9.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",south,yes,yes,,,,,Married
396,45,"some college, no degree","white, non-hispanic",male,2,never married,west,0,not working - disabled,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",west,,,,,,,Never married
397,53,masters degree,"white, non-hispanic",male,1,never married,south,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",south,,,,,,,Never married
398,71,12th grade no diploma,"white, non-hispanic",female,1,widowed,south,0,working - self-employed,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,catholic,"no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",south,,,,,,,
399,83,bachelors degree,"white, non-hispanic",male,2,married,midwest,0,not working - retired,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,other,catholic,"yes, i am married",,,female,,no (not latino or hispanic),white,no,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",73.0,bachelor's degree,republican,yes,47.0,47.0,48.0,48.0,,we earned about the same amount,different high school,did not attend same college or university,no,,no,no,no,no,no,no,no,yes,no,"no, we did not meet through the internet",no,yes,no,no,no,no,no,excellent,met offline,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,different sex couple,10.0,meet through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",midwest,yes,yes,,,,,Married
400,61,bachelors degree,"white, non-hispanic",male,1,never married,west,0,not working - looking for work,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",west,,,,,,,Never married
401,27,bachelors degree,"white, non-hispanic",female,2,married,midwest,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,catholic,"yes, i am married",,,male,,refused,white,no,catholic,26.0,bachelor's degree,republican,yes,21.0,21.0,22.0,25.0,,i earned more,different high school,attended same college or university,no,approve,yes,no,no,no,no,no,no,no,no,"no, we did not meet through the internet",no,no,yes,no,no,no,no,excellent,met offline,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,different sex couple,1.0,not met through friends,not met through family,did not meet through or as neighbors,1.0,"white, non-hispanic",midwest,yes,yes,,,,,Married
402,81,masters degree,"white, non-hispanic",male,2,married,midwest,0,not working - retired,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","yes, i am married",,,female,,no (not latino or hispanic),white,no,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",82.0,"some college, no degree",independent,yes,20.0,20.0,22.0,22.0,,i earned more,different high school,did not attend same college or university,no,,no,no,no,no,no,no,no,no,yes,"no, we did not meet through the internet",no,no,no,no,no,yes,no,excellent,met offline,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,different sex couple,1.0,meet through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",midwest,yes,yes,,,,,Married
403,34,associate degree,"white, non-hispanic",male,5,married,south,3,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,other christian,"yes, i am married",,,female,,no (not latino or hispanic),white,no,other christian,34.0,bachelor's degree,no preference,yes,15.0,15.0,21.0,21.0,,i earned more,same high school,did not attend same college or university,no,approve,no,yes,no,no,no,no,no,no,no,"no, we did not meet through the internet",no,yes,no,no,no,no,no,excellent,met offline,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,different sex couple,0.0,meet through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",south,yes,yes,,,,,Married
404,33,bachelors degree,"white, non-hispanic",male,2,living with partner,northeast,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,catholic,"no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",northeast,,,,,,,Married
405,30,bachelors degree,"white, non-hispanic",male,1,married,west,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,none,"yes, i am married",,,female,,no (not latino or hispanic),white,no,none,28.0,bachelor's degree,no preference,yes,27.0,28.0,30.0,29.0,"more than 2 years, less than 3 years",i earned more,different high school,did not attend same college or university,no,approve,yes,no,no,no,no,no,no,no,no,"no, we did not meet through the internet",no,no,no,no,no,yes,no,good,met offline,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,different sex couple,2.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",west,yes,yes,,,,,Married
406,37,associate degree,"white, non-hispanic",male,2,married,south,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,"other non-christian, please specify:","yes, i am married",,,female,,no (not latino or hispanic),white,no,baptist - any denomination,35.0,"some college, no degree",democrat,yes,22.0,22.0,22.0,23.0,,i earned more,same high school,did not attend same college or university,yes,approve,no,no,no,no,no,no,no,no,yes,"no, we did not meet through the internet",no,no,no,yes,no,no,no,good,met offline,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,different sex couple,2.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",south,yes,yes,,,,,Married
